,point,latitude,longitude,altitude,opening_type,building_type,3d_point,closest_detected,distance_to_ground_truth,nearest_latitude,nearest_longitude,nearest_altitude
29,POINT (89978.60173988236 471495.5027904842),52.22769536651292,4.435507375518095,4.49,2nd floor window,k1,"[89978.60173988236, 471495.5027904842, 4.49]","[89981.57936039413, 471495.7640795404, 3.997353875759098]",3.029388731525251,52.227698065791394,4.435550902020012,3.997353875759098
30,POINT (89973.47430922493 471501.9961347348),52.22775311626416,4.435431089897921,1.84,1st floor window,k1,"[89973.47430922493, 471501.9961347348, 1.84]","[89973.25106515392, 471502.2782398309, 1.7470742609512624]",0.37155940771093177,52.22775562515979,4.435427768597995,1.7470742609512624
32,POINT (89971.9026182915 471503.9825274709),52.22777078223197,4.435407707096001,1.84,1st floor window,k1,"[89971.9026182915, 471503.98252747086, 1.84]","[89972.34835993634, 471503.4190775609, 1.6634960887322021]",0.7398074382454353,52.22776577118622,4.435414338629187,1.6634960887322021
33,POINT (89971.9026182915 471503.9825274709),52.22777078223197,4.435407707096001,4.49,2nd floor window,k1,"[89971.9026182915, 471503.98252747086, 4.49]","[89972.31352598555, 471503.46311020956, 4.304750040545045]",0.6877186720180261,52.22776616279087,4.435413820386211,4.304750040545045
35,POINT (89966.78218069951 471510.475905614),52.227828533046775,4.435331523552589,4.49,2nd floor window,k1,"[89966.7821806995, 471510.47590561403, 4.49]","[89966.8272664505, 471510.4187252986, 4.453704923807834]",0.08136120679923686,52.22782802449614,4.435332194355089,4.453704923807834
36,POINT (89965.21940619628 471512.4583648907),52.2278461646969,4.435308271917026,1.84,1st floor window,k1,"[89965.21940619628, 471512.45836489066, 1.84]","[89965.31746030043, 471512.3339462808, 2.0447250954753082]",0.25885703106347346,52.22784505813646,4.435309730815116,2.0447250954753082
38,POINT (89960.09961658213 471518.9412405054),52.22790382113846,4.435232099615956,1.84,1st floor window,k1,"[89960.09961658213, 471518.94124050543, 1.84]","[89959.55028323518, 471519.63614714233, 1.8370178624914077]",0.8858167153647433,52.22791000133005,4.435223926745774,1.8370178624914077
39,POINT (89960.09961658213 471518.9412405054),52.22790382113846,4.435232099615956,4.49,2nd floor window,k1,"[89960.09961658213, 471518.94124050543, 4.49]","[89959.44087411342, 471519.7745497031, 4.61298231354891]",1.0693318046608042,52.227911232221004,4.435222298978762,4.61298231354891
41,POINT (89958.52050757111 471520.9382593303),52.22792158168553,4.435208606052477,4.49,2nd floor window,k1,"[89958.52050757111, 471520.93825933035, 4.49]","[89958.35407302517, 471521.1486707913, 4.899425502822201]",0.4894922709759346,52.227923452979404,4.435206129895934,4.899425502822201
43,POINT (89953.41502121979 471527.4159598517),52.22797919324118,4.43513264381307,4.49,2nd floor window,k1,"[89953.41502121979, 471527.4159598517, 4.49]","[89958.35407302517, 471521.1486707913, 4.899425502822201]",7.990042186700262,52.227923452979404,4.435206129895934,4.899425502822201
